Delivery Date,Hour Ending,day ahead price
2016-04-28,02:00:00,12.0375
2016-04-28,03:00:00,11.81916667
2016-04-28,04:00:00,13.14416667
2016-04-28,05:00:00,15.9775
2016-04-28,06:00:00,19.67916667
2016-04-28,07:00:00,19.33166667
2016-04-28,08:00:00,19.24416667
2016-04-28,09:00:00,20.18333333
2016-04-28,10:00:00,21.455
2016-04-28,11:00:00,22.9925
2016-04-28,12:00:00,24.855
2016-04-28,13:00:00,26.965
2016-04-28,14:00:00,29.55916667
2016-04-28,15:00:00,33.88166667
2016-04-28,16:00:00,35
2016-04-28,17:00:00,29.06916667
2016-04-28,18:00:00,28.0075
2016-04-28,19:00:00,24.2975
2016-04-28,20:00:00,22.21333333
2016-04-28,21:00:00,20.60166667
2016-04-28,22:00:00,19.11833333
2016-04-28,23:00:00,17.20833333
2016-04-29,00:00:00,14.8275
2016-04-29,01:00:00,12.54833333
2016-04-29,02:00:00,11.4925
2016-04-29,03:00:00,11.47416667
2016-04-29,04:00:00,12.59583333
2016-04-29,05:00:00,15.12916667
2016-04-29,06:00:00,18.77666667
2016-04-29,07:00:00,18.76666667
2016-04-29,08:00:00,18.85416667
2016-04-29,09:00:00,19.82916667
2016-04-29,10:00:00,21.16083333
2016-04-29,11:00:00,22.58833333
2016-04-29,12:00:00,24.18833333
2016-04-29,13:00:00,26.54666667
2016-04-29,14:00:00,27.9925
2016-04-29,15:00:00,33.36416667
2016-04-29,16:00:00,35.27916667
2016-04-29,17:00:00,28.96833333
2016-04-29,18:00:00,28.5675
2016-04-29,19:00:00,23.79666667
2016-04-29,20:00:00,22.51416667
2016-04-29,21:00:00,20.7075
2016-04-29,22:00:00,18.79583333
2016-04-29,23:00:00,16.67666667
2016-04-30,00:00:00,16.29
2016-04-30,01:00:00,15.20272727
2016-04-30,02:00:00,14.45454545
2016-04-30,03:00:00,14.20454545
2016-04-30,04:00:00,15.00454545
2016-04-30,05:00:00,16.33545455
2016-04-30,06:00:00,18.19454545
2016-04-30,07:00:00,19.61909091
2016-04-30,08:00:00,20.19
2016-04-30,09:00:00,21.82454545
2016-04-30,10:00:00,22.88090909
2016-04-30,11:00:00,24.41727273
2016-04-30,12:00:00,25.49636364
2016-04-30,13:00:00,28.05363636
2016-04-30,14:00:00,30.58636364
2016-04-30,15:00:00,35.24363636
2016-04-30,16:00:00,36.74363636
2016-04-30,17:00:00,31.17818182
2016-04-30,18:00:00,27.75909091
2016-04-30,19:00:00,24.46818182
2016-04-30,20:00:00,23.65727273
2016-04-30,21:00:00,21.26090909
2016-04-30,22:00:00,18.92909091
2016-04-30,23:00:00,17.19545455
